Date,Open,High,Low,Close,Adj Close,Volume
2022-09-21,216500.000000,217000.000000,212000.000000,213000.000000,212029.015625,493972
2022-09-22,207500.000000,209500.000000,204000.000000,206500.000000,205558.640625,693460
2022-09-23,207500.000000,212500.000000,207500.000000,210500.000000,209540.406250,655441
2022-09-26,205500.000000,208000.000000,204000.000000,204500.000000,203567.765625,513342
2022-09-27,202500.000000,206000.000000,199000.000000,204500.000000,203567.765625,641394
2022-09-28,202500.000000,203500.000000,198000.000000,200500.000000,199586.000000,579635
2022-09-29,203000.000000,205000.000000,196000.000000,196500.000000,196500.000000,612278
2022-09-30,191500.000000,198000.000000,190500.000000,193500.000000,193500.000000,924294
2022-10-04,192000.000000,192000.000000,175500.000000,176500.000000,176500.000000,3753785
2022-10-05,170500.000000,176000.000000,164000.000000,164000.000000,164000.000000,6634375
2022-10-06,163500.000000,169000.000000,163000.000000,167000.000000,167000.000000,3477299
2022-10-07,164000.000000,167500.000000,159500.000000,160000.000000,160000.000000,2596863
2022-10-11,156500.000000,159500.000000,156000.000000,158500.000000,158500.000000,1835014
2022-10-12,158500.000000,164500.000000,158000.000000,162000.000000,162000.000000,1515631
2022-10-13,160500.000000,161000.000000,155000.000000,158500.000000,158500.000000,1487183
2022-10-14,163500.000000,168500.000000,163000.000000,165500.000000,165500.000000,1568930
2022-10-17,162500.000000,168000.000000,160500.000000,167000.000000,167000.000000,1436527
2022-10-18,170500.000000,173000.000000,169000.000000,172500.000000,172500.000000,1414552
2022-10-19,172500.000000,173500.000000,168500.000000,168500.000000,168500.000000,1172766
2022-10-20,168000.000000,168500.000000,163000.000000,168500.000000,168500.000000,1098598
2022-10-21,165000.000000,168000.000000,164000.000000,166000.000000,166000.000000,749769
2022-10-24,169000.000000,170000.000000,163000.000000,164000.000000,164000.000000,888373
2022-10-25,164500.000000,167000.000000,164000.000000,165500.000000,165500.000000,547041
2022-10-26,165000.000000,165000.000000,159000.000000,159500.000000,159500.000000,1352211
2022-10-27,159000.000000,162000.000000,156000.000000,161000.000000,161000.000000,1058992
2022-10-28,158000.000000,161000.000000,157000.000000,160000.000000,160000.000000,777329
2022-10-31,163500.000000,170500.000000,161500.000000,169500.000000,169500.000000,1585289
2022-11-01,168000.000000,171000.000000,166500.000000,170500.000000,170500.000000,768757
2022-11-02,170000.000000,177000.000000,169000.000000,174000.000000,174000.000000,1585072
2022-11-03,168500.000000,170500.000000,166000.000000,169000.000000,169000.000000,1017930
2022-11-04,167500.000000,174500.000000,167500.000000,174000.000000,174000.000000,1248339
2022-11-07,177000.000000,178000.000000,168000.000000,169000.000000,169000.000000,2128304
2022-11-08,172000.000000,179000.000000,171000.000000,177500.000000,177500.000000,2549625
2022-11-09,178500.000000,183000.000000,177500.000000,180000.000000,180000.000000,1596245
2022-11-10,177500.000000,180000.000000,176000.000000,176000.000000,176000.000000,975484
2022-11-11,189000.000000,196500.000000,186000.000000,193500.000000,193500.000000,3312709
2022-11-14,194000.000000,194500.000000,188000.000000,188500.000000,188500.000000,1776156
2022-11-15,190000.000000,192500.000000,188000.000000,192000.000000,192000.000000,889734
2022-11-16,194000.000000,194500.000000,187000.000000,189500.000000,189500.000000,1156594
2022-11-17,188000.000000,189500.000000,186500.000000,188000.000000,188000.000000,825254
2022-11-18,187500.000000,190000.000000,184500.000000,185500.000000,185500.000000,784241
2022-11-21,186000.000000,187500.000000,181000.000000,182500.000000,182500.000000,614738
2022-11-22,181500.000000,184500.000000,179500.000000,180500.000000,180500.000000,631550
2022-11-23,184000.000000,186000.000000,181000.000000,181500.000000,181500.000000,780342
2022-11-24,183000.000000,188000.000000,182500.000000,188000.000000,188000.000000,969322
2022-11-25,187000.000000,189000.000000,185000.000000,185000.000000,185000.000000,440351
2022-11-28,184000.000000,184500.000000,180500.000000,180500.000000,180500.000000,550985
2022-11-29,178500.000000,183500.000000,178500.000000,182500.000000,182500.000000,481120
2022-11-30,181500.000000,187000.000000,180500.000000,187000.000000,187000.000000,880333
2022-12-01,194500.000000,195000.000000,187500.000000,187500.000000,187500.000000,1218297
2022-12-02,188000.000000,190500.000000,185500.000000,185500.000000,185500.000000,796841
2022-12-05,187000.000000,195000.000000,186500.000000,191500.000000,191500.000000,1224361
2022-12-06,189500.000000,190000.000000,185000.000000,185500.000000,185500.000000,877534
2022-12-07,183000.000000,187500.000000,182500.000000,183500.000000,183500.000000,646753
2022-12-08,184000.000000,186500.000000,181500.000000,185500.000000,185500.000000,709428
2022-12-09,187500.000000,195000.000000,187000.000000,195000.000000,195000.000000,1081470
2022-12-12,192500.000000,196500.000000,190500.000000,193000.000000,193000.000000,652814
2022-12-13,195500.000000,197000.000000,191000.000000,193000.000000,193000.000000,692706
2022-12-14,194000.000000,195000.000000,191500.000000,193500.000000,193500.000000,708760
2022-12-15,191000.000000,191000.000000,182500.000000,182500.000000,182500.000000,1270685
2022-12-16,178000.000000,182500.000000,177500.000000,180500.000000,180500.000000,913806
2022-12-19,179500.000000,184000.000000,179500.000000,183500.000000,183500.000000,574398
2022-12-20,182000.000000,184000.000000,179000.000000,180500.000000,180500.000000,625022
2022-12-21,182500.000000,183000.000000,180000.000000,180000.000000,180000.000000,302976
2022-12-22,182000.000000,185500.000000,180500.000000,184500.000000,184500.000000,466951
2022-12-23,180500.000000,182000.000000,178000.000000,178000.000000,178000.000000,613209
2022-12-26,178500.000000,180500.000000,177000.000000,178500.000000,178500.000000,350843
2022-12-27,179500.000000,182500.000000,179000.000000,181000.000000,181000.000000,492232
2022-12-28,179000.000000,183500.000000,178000.000000,180000.000000,180000.000000,580495
2022-12-29,180000.000000,185000.000000,177500.000000,177500.000000,177500.000000,656658
2023-01-02,179500.000000,180000.000000,176000.000000,179500.000000,179500.000000,438162
2023-01-03,177000.000000,179500.000000,173500.000000,178500.000000,178500.000000,573137
2023-01-04,177000.000000,183500.000000,177000.000000,182500.000000,182500.000000,792920
2023-01-05,184500.000000,190000.000000,184000.000000,186000.000000,186000.000000,1107483
2023-01-06,185500.000000,187000.000000,182500.000000,185000.000000,185000.000000,741129
2023-01-09,189500.000000,196500.000000,189000.000000,196500.000000,196500.000000,1115201
2023-01-10,193000.000000,196000.000000,190500.000000,193000.000000,193000.000000,839225
2023-01-11,197500.000000,200500.000000,194500.000000,195000.000000,195000.000000,1030650
2023-01-12,198000.000000,199000.000000,194000.000000,194000.000000,194000.000000,797343
2023-01-13,196000.000000,200500.000000,195000.000000,195000.000000,195000.000000,869459
2023-01-16,197000.000000,201000.000000,195000.000000,200500.000000,200500.000000,846276
2023-01-17,201000.000000,201000.000000,193500.000000,193500.000000,193500.000000,976576
2023-01-18,194000.000000,196000.000000,193000.000000,195500.000000,195500.000000,518929
2023-01-19,194000.000000,196500.000000,192500.000000,196000.000000,196000.000000,475600
2023-01-20,195500.000000,201000.000000,195000.000000,196000.000000,196000.000000,787881
2023-01-25,200500.000000,203500.000000,199600.000000,202000.000000,202000.000000,4625
2023-01-26,202500.000000,204000.000000,199900.000000,202000.000000,202000.000000,5156
2023-01-27,204500.000000,211500.000000,202000.000000,211500.000000,211500.000000,6621
2023-01-30,212000.000000,214000.000000,206500.000000,207000.000000,207000.000000,4949
2023-01-31,206000.000000,208500.000000,202000.000000,207000.000000,207000.000000,3824
2023-02-01,204500.000000,208500.000000,202500.000000,205500.000000,205500.000000,2827
2023-02-02,213000.000000,213500.000000,210500.000000,205500.000000,205500.000000,20981
2023-02-03,214000.000000,225500.000000,210500.000000,211500.000000,211500.000000,11490
2023-02-06,221000.000000,224500.000000,215500.000000,215500.000000,215500.000000,12489
2023-02-07,216000.000000,220500.000000,215000.000000,219500.000000,219500.000000,6245
2023-02-08,224500.000000,232000.000000,224000.000000,230500.000000,230500.000000,9889
2023-02-09,224500.000000,230500.000000,224000.000000,230000.000000,230000.000000,8793
2023-02-10,226000.000000,230500.000000,222000.000000,230000.000000,230000.000000,6957
2023-02-13,231000.000000,231000.000000,220500.000000,223000.000000,223000.000000,7040
2023-02-14,226500.000000,228500.000000,223000.000000,224000.000000,224000.000000,4249
2023-02-15,224500.000000,224500.000000,215000.000000,215500.000000,215500.000000,10250
2023-02-16,218000.000000,222500.000000,218000.000000,220500.000000,220500.000000,2933
2023-02-17,216000.000000,219000.000000,212000.000000,215500.000000,215500.000000,4039
2023-02-20,215500.000000,220000.000000,213500.000000,219000.000000,219000.000000,2145
2023-02-21,220500.000000,220500.000000,215000.000000,215500.000000,215500.000000,6766
2023-02-22,211500.000000,213500.000000,210500.000000,211500.000000,211500.000000,4098
2023-02-23,212000.000000,214500.000000,211000.000000,213500.000000,213500.000000,4285
2023-02-24,213500.000000,214000.000000,207000.000000,208000.000000,208000.000000,6114
2023-02-27,204000.000000,209000.000000,204000.000000,208000.000000,208000.000000,930467
2023-02-28,209500.000000,212000.000000,207500.000000,208500.000000,208500.000000,848323
2023-03-02,207500.000000,209500.000000,205000.000000,206000.000000,206000.000000,817689
2023-03-03,207500.000000,210500.000000,205500.000000,205500.000000,205500.000000,729689
2023-03-06,208500.000000,214500.000000,208500.000000,214500.000000,214500.000000,1052243
2023-03-07,214000.000000,214500.000000,210500.000000,211000.000000,211000.000000,640146
2023-03-08,208500.000000,209000.000000,202000.000000,202500.000000,202500.000000,1027023
2023-03-09,204500.000000,206000.000000,202000.000000,202000.000000,202000.000000,760330
2023-03-10,198000.000000,201000.000000,197800.000000,199800.000000,199800.000000,854741
2023-03-13,199800.000000,203000.000000,194600.000000,202500.000000,202500.000000,1035513
2023-03-14,200000.000000,202000.000000,196000.000000,196000.000000,196000.000000,776395
2023-03-15,200000.000000,201000.000000,194500.000000,196400.000000,196400.000000,838555
2023-03-16,193600.000000,198400.000000,192100.000000,197100.000000,197100.000000,708127
2023-03-17,201000.000000,202000.000000,197200.000000,198000.000000,198000.000000,778496
2023-03-20,198000.000000,204000.000000,198000.000000,201500.000000,201500.000000,602589
2023-03-21,202500.000000,203500.000000,200000.000000,200500.000000,200500.000000,403322
2023-03-22,203500.000000,207500.000000,203000.000000,207000.000000,207000.000000,655503
2023-03-23,204000.000000,205000.000000,202000.000000,204000.000000,204000.000000,607503
2023-03-24,204500.000000,204500.000000,200500.000000,202500.000000,202500.000000,599102
2023-03-27,201500.000000,202000.000000,198200.000000,199300.000000,199300.000000,611569
2023-03-28,199600.000000,201000.000000,197800.000000,199500.000000,199500.000000,586388
2023-03-29,198000.000000,201000.000000,198000.000000,199100.000000,199100.000000,442034
2023-03-30,200500.000000,201000.000000,198100.000000,201000.000000,201000.000000,788108
2023-03-31,203500.000000,203500.000000,199100.000000,202000.000000,202000.000000,937726
2023-04-03,203500.000000,204500.000000,198100.000000,198200.000000,198200.000000,794745
2023-04-04,198200.000000,201000.000000,198100.000000,201000.000000,201000.000000,575220
2023-04-05,201000.000000,202500.000000,199100.000000,199200.000000,199200.000000,485125
2023-04-06,198200.000000,198300.000000,191900.000000,191900.000000,191900.000000,1409355
